FECHA;OFIC.;N.DOC.;DESCRIPCION;DEBITO;CREDITO;SALDO
15-Jul-24;12;143227996;TRANSFERENCIA INTERNET;0.00;40.00;1781.53
15-Jul-24;12;254074352;TRANSFERENCIA INTERBANCARIA ENVIADA;3.50;0.00;1778.03
17-Jul-24;12;86530112;TRANSFERENCIA INTERBANCARIA ENVIADA;5.50;0.00;1772.53
17-Jul-24;12;86602244;TRANSFERENCIA INTERBANCARIA ENVIADA;0.20;0.00;1772.33
17-Jul-24;12;86605811;REV_TRANSFERENCIA INTERBANCARIA ENVIADA;0.00;0.20;1772.53
17-Jul-24;12;108412185;TRANSFERENCIA INTERNET;1.00;0.00;1771.53
18-Jul-24;12;19011714;TRANSFERENCIA INTERBANCARIA ENVIADA;4.00;0.00;1767.53
18-Jul-24;12;65563339;TRANSFERENCIA INTERBANCARIA ENVIADA;2.50;0.00;1765.03
19-Jul-24;12;53405103;TRANSFERENCIA INTERBANCARIA ENVIADA;10.75;0.00;1754.28
19-Jul-24;12;93302003;TRANSFERENCIA INTERBANCARIA ENVIADA;7.00;0.00;1747.28
22-Jul-24;901;173187556;*PAGO TARJETA: 2230670000895647;20.00;0.00;1727.28
22-Jul-24;12;210016260;TRANSFERENCIA INTERBANCARIA RECIBIDA;0.00;25.35;1752.63
23-Jul-24;12;88362383;TRANSFERENCIA INTERBANCARIA ENVIADA;3.95;0.00;1748.68
24-Jul-24;12;65213932;TRANSFERENCIA INTERBANCARIA ENVIADA;3.50;0.00;1745.18
24-Jul-24;12;70012403;TRANSFERENCIA INTERBANCARIA ENVIADA;5.00;0.00;1740.18
25-Jul-24;12;56345958;TRANSFERENCIA INTERBANCARIA ENVIADA;1.50;0.00;1738.68
26-Jul-24;12;44215428;TRANSFERENCIA INTERNET;3.00;0.00;1735.68
26-Jul-24;12;47338566;TRANSFERENCIA INTERBANCARIA ENVIADA;2.50;0.00;1733.18
26-Jul-24;12;68941061;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;1730.18
29-Jul-24;12;902447008;TRANSFERENCIA INTERBANCARIA ENVIADA;17.56;0.00;1712.62
29-Jul-24;12;100711930;TRANSFERENCIA INTERBANCARIA ENVIADA;1.50;0.00;1711.12
30-Jul-24;12;19689728;TRANSFERENCIA INTERBANCARIA ENVIADA;2.00;0.00;1709.12
05-ago-2024;12;150108000;TRANSFERENCIA INTERNET;13.75;0.00;1695.37
06-ago-2024;12;29430061;06296775-MASTERCARD -RA-22306700008;255.16;0.00;1440.21
06-ago-2024;12;134910364;TRANSFERENCIA INTERBANCARIA ENVIADA;11.60;0.00;1428.61
06-ago-2024;12;135037199;TRANSFERENCIA INTERBANCARIA ENVIADA;9.00;0.00;1419.61
