FECHA;OFIC.;N.DOC.;DESCRIPCION;DEBITO;CREDITO;SALDO
31-ene-2025;901;824442967;INTERES A SU FAVOR;0.00;0.05;699.81
13-ene-2025;12;38102319;TRANSFERENCIA INTERBANCARIA ENVIADA;4.00;0.00;695.81
14-ene-2025;12;29841898;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;692.81
15-ene-2025;12;36658810;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;689.81
16-ene-2025;12;28780396;TRANSFERENCIA INTERBANCARIA ENVIADA;3.25;0.00;686.56
17-ene-2025;12;66334894;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;683.56
20-ene-2025;12;45213043;TRANSFERENCIA INTERBANCARIA ENVIADA;2.15;0.00;681.41
21-ene-2025;901;11607385;*PAGO TARJETA: 2230670000895647;20.00;0.00;661.41
21-ene-2025;12;30576202;TRANSFERENCIA INTERNET;140.00;0.00;521.41
21-ene-2025;12;39793676;TRANSFERENCIA INTERBANCARIA ENVIADA;3.25;0.00;518.16
22-ene-2025;12;4180235;10970033-MASTERCARD -RA-22306700007;275.27;0.00;242.89
22-ene-2025;12;29216442;TRANSFERENCIA INTERBANCARIA ENVIADA;3.25;0.00;239.64
23-ene-2025;12;32230233;TRANSFERENCIA INTERBANCARIA ENVIADA;3.50;0.00;236.14
23-ene-2025;12;37509387;TRANSFERENCIA INTERBANCARIA ENVIADA;3.25;0.00;232.89
24-ene-2025;12;998832;CANCELACION PLAZO FIJO;0.00;26000.00;26232.89
24-ene-2025;12;998832;TRANSFERENCIA INTERIOR;0.00;1897.57;28130.46
24-ene-2025;12;31387245;TRANSFERENCIA INTERBANCARIA ENVIADA;3.25;0.00;28127.21
27-ene-2025;12;84111430;TRANSFERENCIA INTERNET;1.60;0.00;28125.61
27-ene-2025;12;125365200;TRANSFERENCIA INTERBANCARIA ENVIADA;3.25;0.00;28122.36
28-ene-2025;12;36397129;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;28119.36
29-ene-2025;12;17545725;TRANSFERENCIA INTERBANCARIA ENVIADA;9.35;0.00;28110.01
29-ene-2025;12;19996181;TRANSFERENCIA INTERNET;0.40;0.00;28109.61
30-ene-2025;12;29109444;TRANSFERENCIA INTERNET;3.00;0.00;28106.61
31-ene-2025;12;34977460;TRANSFERENCIA INTERBANCARIA ENVIADA;10.50;0.00;28096.11
31-ene-2025;12;75218688;TRANSFERENCIA INTERBANCARIA ENVIADA;4.00;0.00;28092.11
3-Feb-25;12;35854777;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;28089.11
3-Feb-25;12;158907139;TRANSFERENCIA INTERNET;0.00;290.00;28379.11
4-Feb-25;12;45877063;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;28376.11
4-Feb-25;12;68176200;TRANSFERENCIA INTERBANCARIA ENVIADA;2.99;0.00;28373.12
4-Feb-25;12;69746719;TRANSFERENCIA INTERBANCARIA ENVIADA;0.50;0.00;28372.62
4-Feb-25;12;69789318;TRANSFERENCIA INTERBANCARIA ENVIADA;0.50;0.00;28372.12
4-Feb-25;12;70874702;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;28369.12
5-Feb-25;12;32617110;TRANSFERENCIA INTERNET;14.50;0.00;28354.62
5-Feb-25;12;33324600;TRANSFERENCIA INTERNET;290.00;0.00;28064.62
5-Feb-25;12;33583311;**COMISION PAGO TARJETA INTERBANCARIA ENV;0.34;0.00;28064.28
5-Feb-25;12;33583311;IVA COBRADO;0.05;0.00;28064.23
5-Feb-25;12;33583311;PAGO TARJETA INTERBANCARIA ENVIADA;1.24;0.00;28062.99
5-Feb-25;12;45355988;TRANSFERENCIA INTERBANCARIA ENVIADA;34.07;0.00;28028.92
6-Feb-25;12;33492151;TRANSFERENCIA INTERBANCARIA ENVIADA;3.25;0.00;28025.67
7-Feb-25;12;18774765;TRANSFERENCIA INTERNET;35.00;0.00;27990.67
7-Feb-25;12;19264301;TRANSFERENCIA INTERBANCARIA ENVIADA;1.00;0.00;27989.67
7-Feb-25;12;33985911;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;27986.67
