FECHA;OFIC.;N.DOC.;DESCRIPCION;DEBITO;CREDITO;SALDO
30-Jun-24;901;826361100;INTERES A SU FAVOR;0.00;0.55;2483.41
11-Jun-24;12;45781293;TRANSFERENCIA INTERNET;0.00;3.00;2486.41
11-Jun-24;12;54860248;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;2483.41
12-Jun-24;12;25725867;TRANSFERENCIA INTERNET;7.00;0.00;2476.41
14-Jun-24;12;43075436;TRANSFERENCIA INTERBANCARIA ENVIADA;3.40;0.00;2473.01
14-Jun-24;12;110207529;TRANSFERENCIA INTERNET;1.25;0.00;2471.76
20-Jun-24;12;84731598;05029027-MASTERCARD -RA-22306700008;478.28;0.00;1993.48
20-Jun-24;12;84958286;TRANSFERENCIA INTERNET;14.00;0.00;1979.48
24-Jun-24;12;141197280;TRANSFERENCIA INTERNET;0.00;26.41;2005.89
24-Jun-24;12;142897039;TRANSFERENCIA INTERNET;0.00;25.40;2031.29
24-Jun-24;12;158598597;TRANSFERENCIA INTERNET;0.00;27.50;2058.79
24-Jun-24;12;194548656;TRANSFERENCIA INTERBANCARIA ENVIADA;1.40;0.00;2057.39
25-Jun-24;12;16824092;TRANSFERENCIA INTERNET;60.00;0.00;1997.39
25-Jun-24;12;56800964;TRANSFERENCIA INTERNET;2.75;0.00;1994.64
26-Jun-24;12;60367376;TRANSFERENCIA INTERNET;0.80;0.00;1993.84
27-Jun-24;12;40567774;TRANSFERENCIA INTERBANCARIA ENVIADA;2.00;0.00;1991.84
27-Jun-24;12;40699772;TRANSFERENCIA INTERBANCARIA ENVIADA;5.00;0.00;1986.84
27-Jun-24;12;41791761;**COMISION TRANSFERENCIA INTERBANCARIA EN;0.36;0.00;1986.48
27-Jun-24;12;41791761;IVA COBRADO;0.05;0.00;1986.43
27-Jun-24;12;41791761;TRANSFERENCIA INTERBANCARIA ENVIADA;5.00;0.00;1981.43
4-Jul-24;12;72973374;TRANSFERENCIA INTERBANCARIA ENVIADA;6.90;0.00;1974.53
4-Jul-24;12;74818677;TRANSFERENCIA INTERNET;15.00;0.00;1959.53
4-Jul-24;12;98683269;TRANSFERENCIA INTERBANCARIA ENVIADA;8.00;0.00;1951.53
5-Jul-24;12;54575635;TRANSFERENCIA INTERNET;60.00;0.00;1891.53
5-Jul-24;12;54755215;TRANSFERENCIA INTERNET;150.00;0.00;1741.53
