FECHA;OFIC.;N.DOC.;DESCRIPCION;DEBITO;CREDITO;SALDO
31-May-24;901;826416594;INTERES A SU FAVOR;0.00;0.74;2779.78
13-May-24;12;185792483;**COMISION TRANSFERENCIA INTERBANCARIA EN;0.36;0.00;2779.42
13-May-24;12;185792483;IVA COBRADO;0.05;0.00;2779.37
13-May-24;12;185792483;TRANSFERENCIA INTERBANCARIA ENVIADA;25.00;0.00;2754.37
14-May-24;12;6672767;TRANSFERENCIA INTERBANCARIA ENVIADA;2.50;0.00;2751.87
17-May-24;12;68506076;TRANSFERENCIA INTERBANCARIA ENVIADA;10.00;0.00;2741.87
22-May-24;12;63138502;TRANSFERENCIA INTERBANCARIA ENVIADA;2.00;0.00;2739.87
22-May-24;12;63228815;TRANSFERENCIA INTERBANCARIA ENVIADA;0.25;0.00;2739.62
23-May-24;12;33440381;TRANSFERENCIA INTERNET;4.00;0.00;2735.62
28-May-24;12;96835271;**COM SRI TRF 000000000;0.27;0.00;2735.35
28-May-24;12;96835271;IVA SRI TRF 000000000;0.04;0.00;2735.31
28-May-24;12;96835271;PAGO SRI TRF 00000000000005827546;244.87;0.00;2490.44
29-May-24;12;651940;CANCELACION PLAZO FIJO;0.00;10100.00;12590.44
29-May-24;12;651940;TRANSFERENCIA INTERIOR;0.00;172.21;12762.65
29-May-24;12;651940;RETENCION 2% RENDIMIENTO FINANCIERO;3.44;0.00;12759.21
31-May-24;12;69075062;TRANSFERENCIA INTERBANCARIA ENVIADA;4.00;0.00;12755.21
31-May-24;12;131710316;TRANSFERENCIA INTERBANCARIA ENVIADA;6.70;0.00;12748.51
3-Jun-24;12;250407204;TRANSFERENCIA INTERBANCARIA RECIBIDA;0.00;14.50;12763.01
4-Jun-24;12;52779375;TRANSFERENCIA INTERBANCARIA ENVIADA;2.15;0.00;12760.86
4-Jun-24;12;109536567;CERTIFICADO DE DEPOSITO;10278.00;0.00;2482.86
