FECHA;OFIC.;N.DOC.;DESCRIPCION;DEBITO;CREDITO;SALDO
28-Feb-25;901;823878290;INTERES A SU FAVOR;0.00;1.33;27988.00
10-Feb-25;12;27918113;TRANSFERENCIA INTERBANCARIA ENVIADA;9.75;0.00;27978.25
10-Feb-25;12;36995867;TRANSFERENCIA INTERNET;0.00;200.00;28178.25
13-Feb-25;12;39507013;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;28175.25
13-Feb-25;12;42945318;TRANSFERENCIA INTERNET;14.65;0.00;28160.60
13-Feb-25;12;63648743;TRANSFERENCIA INTERNET;6.75;0.00;28153.85
14-Feb-25;12;44261692;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;28150.85
21-Feb-25;901;11580502;*PAGO TARJETA: 2230670000895647;29.52;0.00;28121.33
21-Feb-25;12;27398380;TRANSFERENCIA INTERNET;4.25;0.00;28117.08
21-Feb-25;12;27592554;CERTIFICADO DE DEPOSITO;28000.00;0.00;117.08
24-Feb-25;12;32504669;TRANSFERENCIA INTERNET;5.00;0.00;112.08
24-Feb-25;12;73278390;TRANSFERENCIA INTERNET;4.36;0.00;107.72
24-Feb-25;12;75549914;TRANSFERENCIA INTERBANCARIA ENVIADA;1.65;0.00;106.07
24-Feb-25;12;82174800;TRANSFERENCIA INTERNET;2.00;0.00;104.07
24-Feb-25;12;84799619;TRANSFERENCIA INTERNET;2.00;0.00;102.07
24-Feb-25;12;123159819;TRANSFERENCIA INTERNET;0.00;50.00;152.07
24-Feb-25;12;132342976;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;149.07
25-Feb-25;12;36378316;TRANSFERENCIA INTERNET;17.23;0.00;131.84
27-Feb-25;12;36777741;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;128.84
28-Feb-25;12;11872733;TRANSFERENCIA INTERNET;30.60;0.00;98.24
28-Feb-25;12;11957603;TRANSFERENCIA INTERNET;6.00;0.00;92.24
5-Mar;12;99708415;TRANSFERENCIA INTERBANCARIA ENVIADA;1.14;0.00;91.10
5-Mar;12;100737773;TRANSFERENCIA INTERBANCARIA ENVIADA;11.00;0.00;80.10
5-Mar;12;127960220;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;77.10
5-Mar;12;241771604;TRANSFERENCIA INTERBANCARIA ENVIADA;2.75;0.00;74.35
7-Mar;12;56956525;TRANSFERENCIA INTERNET;1.00;0.00;73.35
