FECHA;OFIC.;N.DOC.;DESCRIPCION;DEBITO;CREDITO;SALDO;;;
30-abr-2024;901;826468274;INTERES A SU FAVOR;0.00;0.02;2098.79;;;
01-abr-2024;12;262967911;TRANSFERENCIA INTERNET;40.00;0.00;2058.79;;;
01-abr-2024;12;277330547;TRANSFERENCIA INTERNET;12.00;0.00;2046.79;;;
02-abr-2024;12;9155625;TRANSFERENCIA INTERNET;1.00;0.00;2045.79;;;
08-abr-2024;12;53194803;TRANSFERENCIA INTERNET;0.00;3.00;2048.79;;;
08-abr-2024;12;150315020;TRANSFERENCIA INTERNET;0.00;2.10;2050.89;;;
08-abr-2024;12;150464493;TRANSFERENCIA INTERNET;3.00;0.00;2047.89;;;
11-abr-2024;12;89110632;TRANSFERENCIA INTERNET;45.00;0.00;2002.89;;;
17-abr-2024;12;92065862;TRANSFERENCIA INTERBANCARIA ENVIADA;16.75;0.00;1986.14;;;
18-abr-2024;12;52981059;TRANSFERENCIA INTERNET;0.00;40.00;2026.14;;;
19-abr-2024;12;89726388;TRANSFERENCIA INTERNET;6.00;0.00;2020.14;;;
22-abr-2024;12;60528554;TRANSFERENCIA INTERBANCARIA ENVIADA;10.12;0.00;2010.02;;;
22-abr-2024;12;105851859;TRANSFERENCIA INTERBANCARIA ENVIADA;6.70;0.00;2003.32;;;
22-abr-2024;12;178497469;TRANSFERENCIA INTERBANCARIA ENVIADA;2.30;0.00;2001.02;;;
24-abr-2024;12;2838483;TRANSFERENCIA INTERBANCARIA ENVIADA;1.00;0.00;2000.02;;;
26-abr-2024;12;47517248;TRANSFERENCIA INTERNET;0.00;216.02;2216.04;;;
29-abr-2024;12;150736009;TRANSFERENCIA INTERNET;0.00;6.00;2222.04;;;
30-abr-2024;12;11256904;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;2219.04;;;
1-May-24;402;58105590;DEPOSITO 8049;0.00;220.00;2439.04;;;
1-May-24;402;58677305;DEPOSITO 8052;0.00;390.00;2829.04;;;
2-May-24;12;99677191;TRANSFERENCIA INTERNET;50.00;0.00;2779.04;;;
