FECHA;OFIC.;N.DOC.;DESCRIPCION;DEBITO;CREDITO;SALDO
30-abr-2025;901;823246209;INTERES A SU FAVOR;0.00;0.30;39477.95
07-abr-2025;12;136347999;TRANSFERENCIA INTERNET;5.00;0.00;39472.95
08-abr-2025;12;15952120;TRANSFERENCIA INTERNET;0.69;0.00;39472.26
08-abr-2025;402;60164148;RETSINTJ 0979344605 BOVEDA DISPONIBLE VA;50.00;0.00;39422.26
09-abr-2025;12;17877860;TRANSFERENCIA INTERNET;7.75;0.00;39414.51
09-abr-2025;12;37179914;TRANSFERENCIA INTERBANCARIA ENVIADA;3.25;0.00;39411.26
10-abr-2025;12;29462101;TRANSFERENCIA INTERNET;4.60;0.00;39406.66
11-abr-2025;12;45900619;TRANSFERENCIA INTERNET;5.00;0.00;39401.66
14-abr-2025;12;83613244;TRANSFERENCIA INTERBANCARIA ENVIADA;6.70;0.00;39394.96
14-abr-2025;12;141371274;TRANSFERENCIA INTERNET;2.50;0.00;39392.46
15-abr-2025;12;32533962;TRANSFERENCIA INTERBANCARIA ENVIADA;3.25;0.00;39389.21
16-abr-2025;12;21004177;TRANSFERENCIA INTERNET;4.00;0.00;39385.21
16-abr-2025;12;21060925;TRANSFERENCIA INTERNET;2.00;0.00;39383.21
16-abr-2025;12;21797324;TRANSFERENCIA INTERNET;0.00;2.00;39385.21
16-abr-2025;12;46661089;TRANSFERENCIA INTERBANCARIA RECIBIDA;0.00;22.00;39407.21
16-abr-2025;12;47018266;TRANSFERENCIA INTERNET;66.00;0.00;39341.21
16-abr-2025;12;51726569;TRANSFERENCIA INTERNET;70.00;0.00;39271.21
16-abr-2025;12;51903180;TRANSFERENCIA INTERBANCARIA RECIBIDA;0.00;45.00;39316.21
16-abr-2025;12;52652309;TRANSFERENCIA INTERNET;7.50;0.00;39308.71
17-abr-2025;12;72083897;TRANSFERENCIA INTERBANCARIA ENVIADA;8.00;0.00;39300.71
21-abr-2025;12;79174056;TRANSFERENCIA INTERBANCARIA ENVIADA;21.00;0.00;39279.71
21-abr-2025;901;160106892;*PAGO TARJETA: 2230670000895647;30.27;0.00;39249.44
21-abr-2025;12;208275407;TRANSFERENCIA INTERBANCARIA ENVIADA;23.00;0.00;39226.44
22-abr-2025;12;29167245;TRANSFERENCIA INTERBANCARIA ENVIADA;4.75;0.00;39221.69
23-abr-2025;12;16151391;TRANSFERENCIA INTERNET;3.50;0.00;39218.19
23-abr-2025;12;27630164;TRANSFERENCIA INTERNET;0.00;100.00;39318.19
24-abr-2025;12;29126969;TRANSFERENCIA INTERBANCARIA ENVIADA;3.25;0.00;39314.94
25-abr-2025;12;31112277;TRANSFERENCIA INTERBANCARIA ENVIADA;4.00;0.00;39310.94
25-abr-2025;12;36005431;TRANSFERENCIA INTERNET;3.00;0.00;39307.94
25-abr-2025;12;40670006;TRANSFERENCIA INTERNET;5.00;0.00;39302.94
28-abr-2025;12;113401649;TRANSFERENCIA INTERNET;4.00;0.00;39298.94
28-abr-2025;12;113456729;TRANSFERENCIA INTERNET;0.00;1.33;39300.27
28-abr-2025;12;147266878;TRANSFERENCIA INTERBANCARIA ENVIADA;6.00;0.00;39294.27
28-abr-2025;12;179795727;13426655-MASTERCARD -RA-54660500045;3217.50;0.00;36076.77
28-abr-2025;12;180222606;CERTIFICADO DE DEPOSITO;7317.00;0.00;28759.77
29-abr-2025;12;28799767;TRANSFERENCIA INTERBANCARIA ENVIADA;4.75;0.00;28755.02
30-abr-2025;12;35985312;TRANSFERENCIA INTERNET;2.50;0.00;28752.52
1-May-25;12;28582864;TRANSFERENCIA INTERNET;1.85;0.00;28750.67
1-May-25;12;39956943;TRANSFERENCIA INTERBANCARIA ENVIADA;3.25;0.00;28747.42
5-May-25;12;30730795;TRANSFERENCIA INTERNET;3.25;0.00;28744.17
5-May-25;12;66566903;TRANSFERENCIA INTERBANCARIA ENVIADA;9.80;0.00;28734.37
5-May-25;12;154088400;TRANSFERENCIA INTERNET;0.00;10.50;28744.87
5-May-25;12;178324611;TRANSFERENCIA INTERNET;3.40;0.00;28741.47
6-May-25;12;28696750;TRANSFERENCIA INTERBANCARIA ENVIADA;3.95;0.00;28737.52
7-May-25;12;15643497;13619132-MASTERCARD -RA-22306700007;789.73;0.00;27947.79
7-May-25;12;40690404;TRANSFERENCIA INTERNET;13.99;0.00;27933.80
7-May-25;12;40791957;TRANSFERENCIA INTERBANCARIA RECIBIDA;0.00;4.66;27938.46
7-May-25;12;40902301;TRANSFERENCIA INTERNET;0.00;4.60;27943.06
7-May-25;12;41663548;TRANSFERENCIA INTERNET;6.00;0.00;27937.06
8-May-25;12;23507071;TRANSFERENCIA INTERBANCARIA ENVIADA;2.50;0.00;27934.56
8-May-25;12;23733071;TRANSFERENCIA INTERBANCARIA ENVIADA;2.00;0.00;27932.56
8-May-25;12;67589013;TRANSFERENCIA INTERBANCARIA ENVIADA;3.50;0.00;27929.06
9-May-25;12;30263356;TRANSFERENCIA INTERBANCARIA RECIBIDA;0.00;1.20;27930.26
9-May-25;12;30525625;TRANSFERENCIA INTERNET;5.55;0.00;27924.71
9-May-25;12;36893055;TRANSFERENCIA INTERNET;3.00;0.00;27921.71
9-May-25;12;38193243;TRANSFERENCIA INTERNET;1.00;0.00;27920.71
9-May-25;12;44711512;TRANSFERENCIA INTERNET;5.00;0.00;27915.71
9-May-25;12;62580238;TRANSFERENCIA INTERBANCARIA ENVIADA;0.90;0.00;27914.81
