FECHA;OFIC.;N.DOC.;DESCRIPCION;DEBITO;CREDITO;SALDO
30-Sep-24;901;825140085;INTERES A SU FAVOR;0.00;1.99;10627.87
09-Sep-24;12;73375798;**COMISION PAGO TARJETA INTERBANCARIA ENV;0.34;0.00;10627.53
09-Sep-24;12;73375798;IVA COBRADO;0.05;0.00;10627.48
09-Sep-24;12;73375798;PAGO TARJETA INTERBANCARIA ENVIADA;0.23;0.00;10627.25
09-Sep-24;12;73377156;REV_PAGO TARJETA INTERBANCARIA ENVIADA;0.00;0.23;10627.48
09-Sep-24;12;140950090;TRANSFERENCIA INTERNET;2.10;0.00;10625.38
09-Sep-24;12;238116479;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;10622.38
11-Sep-24;12;60787378;TRANSFERENCIA INTERBANCARIA ENVIADA;3.75;0.00;10618.63
17-Sep-24;12;64891474;TRANSFERENCIA INTERNET;6.50;0.00;10612.13
19-Sep-24;12;80422174;TRANSFERENCIA INTERBANCARIA ENVIADA;3.66;0.00;10608.47
20-Sep-24;12;79561541;07550945-MASTERCARD -RA-22306700003;401.21;0.00;10207.26
23-Sep-24;12;90888871;**COMISION PAGO TARJETA INTERBANCARIA ENV;0.34;0.00;10206.92
23-Sep-24;12;90888871;IVA COBRADO;0.05;0.00;10206.87
23-Sep-24;12;90888871;PAGO TARJETA INTERBANCARIA ENVIADA;1.47;0.00;10205.40
23-Sep-24;12;91725048;07593554-MASTERCARD -RA-54660500091;3228.50;0.00;6976.90
23-Sep-24;12;91926775;CERTIFICADO DE DEPOSITO;6648.00;0.00;328.90
23-Sep-24;12;123777677;TRANSFERENCIA INTERNET;22.14;0.00;306.76
26-Sep-24;12;44141298;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;303.76
26-Sep-24;12;45187406;TRANSFERENCIA INTERBANCARIA RECIBIDA;0.00;2.00;305.76
26-Sep-24;12;71839019;TRANSFERENCIA INTERNET;8.00;0.00;297.76
27-Sep-24;12;57945443;TRANSFERENCIA INTERNET;9.50;0.00;288.26
30-Sep-24;12;158617717;TRANSFERENCIA INTERBANCARIA ENVIADA;3.75;0.00;284.51
30-Sep-24;12;168781070;TRANSFERENCIA INTERNET;3.20;0.00;281.31
30-Sep-24;12;188560334;TRANSFERENCIA INTERNET;150.00;0.00;131.31
30-Sep-24;12;188658338;TRANSFERENCIA INTERNET;60.00;0.00;71.31
01-Oct-24;12;13172090;TRANSFERENCIA INTERBANCARIA ENVIADA;3.50;0.00;67.81
02-Oct-24;12;44945918;TRANSFERENCIA INTERNET;0.00;249.00;316.81
02-Oct-24;12;46372521;TRANSFERENCIA INTERNET;0.00;132.00;448.81
04-Oct-24;12;40624524;TRANSFERENCIA INTERBANCARIA ENVIADA;2.50;0.00;446.31
04-Oct-24;12;58638666;TRANSFERENCIA INTERBANCARIA ENVIADA;3.25;0.00;443.06
04-Oct-24;12;66680771;TRANSFERENCIA INTERNET;5.00;0.00;438.06
04-Oct-24;12;69382180;TRANSFERENCIA INTERNET;5.00;0.00;433.06
04-Oct-24;12;75973764;TRANSFERENCIA INTERNET;2.00;0.00;431.06
04-Oct-24;12;86660578;TRANSFERENCIA INTERBANCARIA ENVIADA;0.40;0.00;430.66
07-Oct-24;12;180674275;TRANSFERENCIA INTERBANCARIA ENVIADA;3.25;0.00;427.41
08-Oct-24;12;62142973;TRANSFERENCIA INTERBANCARIA ENVIADA;12.00;0.00;415.41
09-Oct-24;12;38372296;TRANSFERENCIA INTERNET;2.00;0.00;413.41
10-Oct-24;12;45071524;TRANSFERENCIA INTERBANCARIA ENVIADA;3.75;0.00;409.66
10-Oct-24;12;79188397;TRANSFERENCIA INTERNET;30.00;0.00;379.66
