FECHA;OFIC.;N.DOC.;DESCRIPCION;DEBITO;CREDITO;SALDO;;;
12-ago-2024;12;900780764;06413758-DISCOVER -RX-65573500021;131.61;0.00;1288.00;;;
12-ago-2024;12;900804718;TRANSFERENCIA INTERNET;6.00;0.00;1282.00;;;
13-ago-2024;12;56186904;TRANSFERENCIA INTERNET;23.75;0.00;1258.25;;;
13-ago-2024;12;113729279;TRANSFERENCIA INTERBANCARIA ENVIADA;1.45;0.00;1256.80;;;
15-ago-2024;12;121098078;TRANSFERENCIA INTERNET;0.00;30.00;1286.80;;;
19-ago-2024;12;96603385;TRANSFERENCIA INTERNET;7.00;0.00;1279.80;;;
21-ago-2024;901;21851430;*PAGO TARJETA: 2230670000895647;20.00;0.00;1259.80;;;
21-ago-2024;12;111274134;TRANSFERENCIA INTERBANCARIA ENVIADA;4.03;0.00;1255.77;;;
22-ago-2024;12;48099615;TRANSFERENCIA INTERBANCARIA ENVIADA;2.50;0.00;1253.27;;;
23-ago-2024;12;26380501;06761403-MASTERCARD -RA-54660500091;1080.00;0.00;173.27;;;
23-ago-2024;12;100042413;TRANSFERENCIA INTERBANCARIA ENVIADA;4.50;0.00;168.77;;;
26-ago-2024;12;139733352;TRANSFERENCIA INTERBANCARIA ENVIADA;5.00;0.00;163.77;;;
27-ago-2024;12;64137378;TRANSFERENCIA INTERBANCARIA ENVIADA;2.95;0.00;160.82;;;
27-ago-2024;12;65746215;TRANSFERENCIA INTERBANCARIA ENVIADA;8.53;0.00;152.29;;;
27-ago-2024;12;65888506;TRANSFERENCIA INTERNET;0.00;30.00;182.29;;;
27-ago-2024;12;76223796;TRANSFERENCIA INTERBANCARIA ENVIADA;20.00;0.00;162.29;;;
2-Sep-24;12;55022353;TRANSFERENCIA INTERNET;0.00;8.75;171.04;;;
4-Sep-24;12;862636;CANCELACION PLAZO FIJO;0.00;10278.00;10449.04;;;
4-Sep-24;12;862636;TRANSFERENCIA INTERIOR;0.00;208.82;10657.86;;;
4-Sep-24;12;862636;RETENCION 2% RENDIMIENTO FINANCIERO;4.18;0.00;10653.68;;;
4-Sep-24;12;76675526;TRANSFERENCIA INTERBANCARIA ENVIADA;26.30;0.00;10627.38;;;
4-Sep-24;12;93217888;TRANSFERENCIA INTERBANCARIA ENVIADA;1.50;0.00;10625.88;;;
