FECHA,OFIC.,N.DOC.,DESCRIPCION,DEBITO,CREDITO,SALDO
11-mar,12,57169215,TRANSFERENCIA INTERBANCARIA ENVIADA,2.5,0,31850.39
11-mar,12,111201472,TRANSFERENCIA INTERBANCARIA ENVIADA,2,0,31848.39
11-mar,12,196918379,TRANSFERENCIA INTERNET,9,0,31839.39
11-mar,12,213957466,TRANSFERENCIA INTERBANCARIA ENVIADA,16,0,31823.39
12-mar,12,49163320,TRANSFERENCIA INTERBANCARIA ENVIADA,3.99,0,31819.4
12-mar,12,49286711,TRANSFERENCIA INTERBANCARIA ENVIADA,3.99,0,31815.41
12-mar,12,50817101,TRANSFERENCIA INTERBANCARIA ENVIADA,2.25,0,31813.16
13-mar,12,66206412,TRANSFERENCIA INTERNET,20,0,31793.16
13-mar,12,88150301,**COSTO REFERENCIA BANCARIA,2.25,0,31790.91
13-mar,12,88150301,IVA COBRADO,0.27,0,31790.64
14-mar,12,21145814,TRANSFERENCIA INTERBANCARIA ENVIADA,4,0,31786.64
14-mar,12,64562753,TRANSFERENCIA INTERBANCARIA ENVIADA,0.5,0,31786.14
15-mar,12,66621733,TRANSFERENCIA INTERNET,1.5,0,31784.64
15-mar,12,76413716,TRANSFERENCIA INTERNET,1.73,0,31782.91
15-mar,12,99571606,TRANSFERENCIA INTERNET,2.15,0,31780.76
18-mar,12,11084680,TRANSFERENCIA INTERNET,0,3,31783.76
18-mar,12,92309455,02469497-MASTERCARD -RA-54660500091,3177,0,28606.76
18-mar,12,137593877,TRANSFERENCIA INTERNET,0,18,28624.76
18-mar,12,137781771,02469497-MASTERCARD -RA-22306700008,510.98,0,28113.78
18-mar,12,138119562,TRANSFERENCIA INTERNET,0,223.6,28337.38
18-mar,12,195370936,02469497-MASTERCARD -RA-22306700008,510.98,0,27826.4
19-mar,12,47176832,TRANSFERENCIA INTERNET,5.5,0,27820.9
21-mar,12,41601176,TRANSFERENCIA INTERBANCARIA ENVIADA,3,0,27817.9
21-mar,12,41603449,REV_TRANSFERENCIA INTERBANCARIA ENVIADA,0,3,27820.9
21-mar,12,41627874,TRANSFERENCIA INTERBANCARIA ENVIADA,3,0,27817.9
