FECHA,OFIC.,N.DOC.,DESCRIPCION,DEBITO,CREDITO,SALDO
"2024-03-11, 12:00 AM",12,57169215,TRANSFERENCIA INTERBANCARIA ENVIADA,2.5,0,31850.39
"2024-03-11, 12:00 AM",12,111201472,TRANSFERENCIA INTERBANCARIA ENVIADA,2,0,31848.39
"2024-03-11, 12:00 AM",12,196918379,TRANSFERENCIA INTERNET,9,0,31839.39
"2024-03-11, 12:00 AM",12,213957466,TRANSFERENCIA INTERBANCARIA ENVIADA,16,0,31823.39
"2024-03-12, 12:00 AM",12,49163320,TRANSFERENCIA INTERBANCARIA ENVIADA,3.99,0,31819.4
"2024-03-12, 12:00 AM",12,49286711,TRANSFERENCIA INTERBANCARIA ENVIADA,3.99,0,31815.41
"2024-03-12, 12:00 AM",12,50817101,TRANSFERENCIA INTERBANCARIA ENVIADA,2.25,0,31813.16
"2024-03-13, 12:00 AM",12,66206412,TRANSFERENCIA INTERNET,20,0,31793.16
"2024-03-13, 12:00 AM",12,88150301,**COSTO REFERENCIA BANCARIA,2.25,0,31790.91
"2024-03-13, 12:00 AM",12,88150301,IVA COBRADO,0.27,0,31790.64
"2024-03-14, 12:00 AM",12,21145814,TRANSFERENCIA INTERBANCARIA ENVIADA,4,0,31786.64
"2024-03-14, 12:00 AM",12,64562753,TRANSFERENCIA INTERBANCARIA ENVIADA,0.5,0,31786.14
"2024-03-15, 12:00 AM",12,66621733,TRANSFERENCIA INTERNET,1.5,0,31784.64
"2024-03-15, 12:00 AM",12,76413716,TRANSFERENCIA INTERNET,1.73,0,31782.91
"2024-03-15, 12:00 AM",12,99571606,TRANSFERENCIA INTERNET,2.15,0,31780.76
"2024-03-18, 12:00 AM",12,11084680,TRANSFERENCIA INTERNET,0,3,31783.76
"2024-03-18, 12:00 AM",12,92309455,02469497-MASTERCARD -RA-54660500091,3177,0,28606.76
"2024-03-18, 12:00 AM",12,137593877,TRANSFERENCIA INTERNET,0,18,28624.76
"2024-03-18, 12:00 AM",12,137781771,02469497-MASTERCARD -RA-22306700008,510.98,0,28113.78
"2024-03-18, 12:00 AM",12,138119562,TRANSFERENCIA INTERNET,0,223.6,28337.38
"2024-03-18, 12:00 AM",12,195370936,02469497-MASTERCARD -RA-22306700008,510.98,0,27826.4
"2024-03-19, 12:00 AM",12,47176832,TRANSFERENCIA INTERNET,5.5,0,27820.9
"2024-03-21, 12:00 AM",12,41601176,TRANSFERENCIA INTERBANCARIA ENVIADA,3,0,27817.9
"2024-03-21, 12:00 AM",12,41603449,REV_TRANSFERENCIA INTERBANCARIA ENVIADA,0,3,27820.9
"2024-03-21, 12:00 AM",12,41627874,TRANSFERENCIA INTERBANCARIA ENVIADA,3,0,27817.9
"2024-03-21, 12:00 AM",12,41638164,REV_TRANSFERENCIA INTERBANCARIA ENVIADA,0,3,27820.9
"2024-03-21, 12:00 AM",12,41727071,TRANSFERENCIA INTERNET,3,0,27817.9
"2024-03-22, 12:00 AM",12,51871908,TRANSFERENCIA INTERBANCARIA ENVIADA,6,0,27811.9
"2024-03-22, 12:00 AM",12,52999306,TRANSFERENCIA INTERBANCARIA ENVIADA,4.8,0,27807.1
"2024-03-22, 12:00 AM",12,73198653,TRANSFERENCIA INTERBANCARIA ENVIADA,1,0,27806.1
"2024-03-25, 12:00 AM",34,176462690,DEPOSITO,0,280,28086.1
"2024-03-28, 12:00 AM",12,47646567,CERTIFICADO DE DEPOSITO,26000,0,2086.1
"2024-04-30, 12:00 AM",901,826468274,INTERES A SU FAVOR,0,0.02,2098.79
"2024-04-01, 12:00 AM",12,262967911,TRANSFERENCIA INTERNET,40,0,2058.79
"2024-04-01, 12:00 AM",12,277330547,TRANSFERENCIA INTERNET,12,0,2046.79
"2024-04-02, 12:00 AM",12,9155625,TRANSFERENCIA INTERNET,1,0,2045.79
"2024-04-08, 12:00 AM",12,53194803,TRANSFERENCIA INTERNET,0,3,2048.79
"2024-04-08, 12:00 AM",12,150315020,TRANSFERENCIA INTERNET,0,2.1,2050.89
"2024-04-08, 12:00 AM",12,150464493,TRANSFERENCIA INTERNET,3,0,2047.89
"2024-04-11, 12:00 AM",12,89110632,TRANSFERENCIA INTERNET,45,0,2002.89
"2024-04-17, 12:00 AM",12,92065862,TRANSFERENCIA INTERBANCARIA ENVIADA,16.75,0,1986.14
"2024-04-18, 12:00 AM",12,52981059,TRANSFERENCIA INTERNET,0,40,2026.14
"2024-04-19, 12:00 AM",12,89726388,TRANSFERENCIA INTERNET,6,0,2020.14
