FECHA;OFIC.;N.DOC.;DESCRIPCION;DEBITO;CREDITO;SALDO
09-dic-2024;12;116479230;**COMISION PAGO TARJETA INTERBANCARIA ENV;0.34;0.00;21.85
09-dic-2024;12;116479230;IVA COBRADO;0.05;0.00;21.80
09-dic-2024;12;116479230;PAGO TARJETA INTERBANCARIA ENVIADA;2.49;0.00;19.31
10-dic-2024;12;36310093;TRANSFERENCIA INTERBANCARIA RECIBIDA;0.00;6.00;25.31
10-dic-2024;12;36411212;TRANSFERENCIA INTERBANCARIA RECIBIDA;0.00;5.71;31.02
10-dic-2024;12;43391582;TRANSFERENCIA INTERNET;3.00;0.00;28.02
11-dic-2024;12;35300757;TRANSFERENCIA INTERBANCARIA ENVIADA;6.60;0.00;21.42
12-dic-2024;12;3058427;TRANSFERENCIA INTERBANCARIA ENVIADA;2.00;0.00;19.42
12-dic-2024;12;28353913;TRANSFERENCIA INTERNET;10.00;0.00;9.42
12-dic-2024;12;32066980;TRANSFERENCIA INTERBANCARIA ENVIADA;2.25;0.00;7.17
13-dic-2024;12;15269821;TRANSFERENCIA INTERNET;3.70;0.00;3.47
16-dic-2024;12;97932958;TRANSFERENCIA INTERNET;0.00;40.00;43.47
20-dic-2024;12;5980180;TRANSFERENCIA INTERBANCARIA ENVIADA;4.00;0.00;39.47
20-dic-2024;12;30508450;TRANSFERENCIA INTERBANCARIA ENVIADA;2.62;0.00;36.85
20-dic-2024;12;30853752;TRANSFERENCIA INTERBANCARIA ENVIADA;3.00;0.00;33.85
23-dic-2024;12;53872375;TRANSFERENCIA INTERBANCARIA ENVIADA;7.06;0.00;26.79
23-dic-2024;12;76386492;TRANSFERENCIA INTERNET;4.15;0.00;22.64
24-dic-2024;12;53522646;TRANSFERENCIA INTERNET;6.70;0.00;15.94
27-dic-2024;12;2064687;TRANSFERENCIA INTERNET;0.00;50.00;65.94
27-dic-2024;12;43473873;TRANSFERENCIA INTERNET;2.50;0.00;63.44
30-dic-2024;12;99134783;TRANSFERENCIA INTERNET;2.00;0.00;61.44
06-ene-2025;12;94575120;**COMISION PAGO TARJETA INTERBANCARIA ENV;0.34;0.00;61.10
06-ene-2025;12;94575120;IVA COBRADO;0.05;0.00;61.05
06-ene-2025;12;94575120;PAGO TARJETA INTERBANCARIA ENVIADA;1.26;0.00;59.79
06-ene-2025;12;197986658;TRANSFERENCIA INTERNET;0.00;440.00;499.79
06-ene-2025;12;256768970;TRANSFERENCIA INTERNET;0.00;160.00;659.79
06-ene-2025;12;259116810;TRANSFERENCIA INTERNET;0.00;100.00;759.79
07-ene-2025;12;29220586;TRANSFERENCIA INTERNET;6.00;0.00;753.79
07-ene-2025;12;44277320;TRANSFERENCIA INTERNET;14.00;0.00;739.79
09-ene-2025;12;28957084;TRANSFERENCIA INTERBANCARIA ENVIADA;6.00;0.00;733.79
10-ene-2025;12;10985433;TRANSFERENCIA INTERBANCARIA ENVIADA;26.00;0.00;707.79
10-ene-2025;12;58463434;TRANSFERENCIA INTERNET;3.75;0.00;704.04
10-ene-2025;12;58764314;TRANSFERENCIA INTERNET;1.00;0.00;703.04
10-ene-2025;12;61632733;TRANSFERENCIA INTERBANCARIA ENVIADA;3.28;0.00;699.76
