Fecha;Documento;Descripción;Operación;Cuota;País;Valor;;Saldo Diferido(USD)
;;SALDO ANTERIOR;;;;106,22;;
21/02;;"SU PAGO ""MUCHAS GRACIAS""";;;;26,05;;
21/02;289591;"SU PAGO ""MUCHAS GRACIAS""";;;;106,22;;
;;SUBTOTAL PAGOS;;;;132,27;;
;;TOTAL A FAVOR;;;;26,05;;
ARCENTALES ARCINIEGA ANDRE SEB 2230-xxxx-xxxx-5647 * PRINCIPAL MASTERCARD JOVEN *;;;;;;;;
16/02;12208;METROAMBULAT S.A.;CONSUMO;;;3;;
21/02;24837;METROAMBULAT S.A.;CONSUMO;;;3;;
28/02;25116;METROAMBULAT S.A.;CONSUMO;;;3;;
2/3;13074;METROAMBULAT S.A.;CONSUMO;;;40;;
6/3;989;CNT;CONSUMO;;;33,36;;
28/02;8598;PIZZA ZU;CONSUMO;;;15;;
7/2;38014;QUIMODA S A;CONSUMO;;;62,18;;
7/2;38015;QUIMODA S A;CONSUMO;;;75,97;;
7/2;9107;VEERMODA S A;CONSUMO;;;49,99;;
7/2;2001;CONVERSE C C CONDADO SHOPPING;CONSUMO;;;59,99;;
14/02;9659332;McDONALD S EL CONDADO Q;CONSUMO;;;3,99;;
14/02;9659333;NK03 KOBE EL CONDADO S Q;CONSUMO;;;14,81;;
22/02;9933752;SUPERMAXI POMASQUI 122 Q;CONSUMO;;;6,88;;
22/02;9880014;SIME CAROLINAECU Q;CONSUMO;;;9,54;;
6/2;9402860;IL CAPPO DI MANGI EL C Q;CONSUMO;;;5,99;;
21/02;9880012;MEDICITY QUITO CORDOVA Q;CONSUMO;;;2,79;;
21/02;9880013;MEDICITY QUITO CORDOVA Q;CONSUMO;;;21,57;;
11/2;9495100;UB *EATS ECUADOR 8;CONSUMO;;;6,92;;
11/2;9495100;RET IVA SERV DIGITAL 10%;N/D;;;0,08;;
18/02;9742061;UB *EATS ECUADOR 8;CONSUMO;;;29,45;;
18/02;9742061;RET IVA SERV DIGITAL 10%;N/D;;;0,35;;
24/02;9907427;UB *EATS ECUADOR 8;CONSUMO;;;25,91;;
24/02;9907427;RET IVA SERV DIGITAL 10%;N/D;;;0,31;;
25/02;9957473;UB *EATS ECUADOR 8;CONSUMO;;;21,59;;
25/02;9957473;RET IVA SERV DIGITAL 10%;N/D;;;0,26;;
8/2;9388049;GOOGLE *Google Storage 6;CONSUMO;;;1,99;;
8/2;9388049;RET IVA SERV DIGITAL 100%;N/D;;;0,24;;
19/02;9742062;UBER *ONE H;CONSUMO;;;3,99;;
7/2;9373343;DL*McDonald'sUSA M;CONSUMO;;;6,5;;
4/3;161162;DL*McDonald'sUSA M;CONSUMO;;;5,99;;
11/2;9487212;GOOGLE *ChatGPTG 6;CONSUMO;;;19,99;;
11/2;9487212;RET IVA SERV DIGITAL 100%;N/D;;;2,4;;
