FECHA,diff_total_yo,diff_tarjeta,diff_saldo_real,descripcion,comentario,madre,TOTAL,SALDO,TARJETA,INVERSION,PAGOS_MENSUAL_MA INTER,NOTIONCUM,DESCRIPCION,MADRE,diff_TOTAL,diff_saldo_sin_inversion,diff_notion,DESCRIPCION_NOTION
2024-03-25,279.0,0.0,279.0,Deposito 280 ,,,,,,,,,,,,,,
2024-03-25,279.0,0.0,279.0,Deposito 280 ,,,,,,,,,,,,,,
2024-03-25,280.0,0.0,280.0,Deposito 280 ,,,,,,,,,,,,,,
2024-03-28,-134.43,134.43,0.0,,,,,,,,,,,,,,,
2024-03-29,-156.69,156.69,0.0,"Pycca Portal , supermaxi mc -155 #En verdad pycca es -28 ",,,,,,,,,,,,,,
2024-03-29,-156.69,156.69,0.0,"Pycca Portal , supermaxi mc -155 #En verdad pycca es -28 ",,,,,,,,,,,,,,
2024-03-29,-22.26,22.26,0.0,"Pycca Portal , supermaxi mc -155 ",En verdad pycca es -28 ,,,,,,,,,,,,,
2024-04-01,-27.31,0.0,-27.31,transferencia -40 #No cuadra,,,,,,,,,,,,,,
2024-04-01,-27.31,0.0,-27.31,transferencia -40 #No cuadra,,,,,,,,,,,,,,
2024-04-01,-39.31,0.0,-39.31,transferencia -40 ,No cuadra,,,,,,,,,,,,,
2024-04-02,-28.84,15.84,-13.0,Kfc y transferecia -27,,,,,,,,,,,,,,
2024-04-02,-28.84,15.84,-13.0,Kfc y transferecia -27,,,,,,,,,,,,,,
2024-04-05,-26.68,26.68,0.0,MC -26,,,,,,,,,,,,,,
2024-04-05,-26.68,26.68,0.0,MC -26,,,,,,,,,,,,,,
2024-04-05,-26.68,26.68,0.0,MC -26,,,,,,,,,,,,,,
2024-04-08,-29.5,32.5,3.0,Difare? y Sime -32,,,,,,,,,,,,,,
2024-04-08,-29.5,32.5,3.0,Difare? y Sime -32,,,,,,,,,,,,,,
2024-04-08,-30.4,32.5,2.1,Difare? y Sime -32,,,,,,,,,,,,,,
2024-04-11,-83.12,37.22,-45.9,ChatGpt Difare y Sime -37 &Pagado,,,,,,,,,,,,,,
2024-04-11,-83.12,37.22,-45.9,ChatGpt Difare y Sime -37 &Pagado,,,,,,,,,,,,,,
2024-04-11,-82.22,37.22,-45.0,ChatGpt Difare y Sime -37 ,,Pagado,,,,,,,,,,,,
2024-04-18,40.0,0.0,40.0,Transferencia -40,,,,,,,,,,,,,,
2024-04-18,40.0,0.0,40.0,Transferencia -40,,,,,,,,,,,,,,
2024-04-18,40.0,0.0,40.0,Transferencia -40,,,,,,,,,,,,,,
2024-04-26,216.02,0.0,216.02,Transferencia 216 ,,Madre,,,,,,,,,,,,
2024-04-26,216.02,0.0,216.02,Transferencia 216 &Madre,,,,,,,,,,,,,,
2024-04-26,216.02,0.0,216.02,Transferencia 216 &Madre,,,,,,,,,,,,,,
2024-05-01,586.85,23.15,610.0,Deposito 610,,,,,,,,,,,,,,
2024-05-01,586.85,23.15,610.0,Deposito 610,,,,,,,,,,,,,,
2024-05-01,586.85,23.15,610.0,Deposito 610,,,,,,,,,,,,,,
2024-05-02,-56.25,6.25,-50.0,Transferencia -50,,,,,,,,,,,,,,
2024-05-02,-56.25,6.25,-50.0,Transferencia -50,,,,,,,,,,,,,,
2024-05-02,-56.25,6.25,-50.0,Transferencia -50,,,,,,,,,,,,,,
2024-05-08,-337.29,337.29,0.0,Usa -337 &pagado,,,,,,,,,,,,,,
2024-05-08,-337.29,337.29,0.0,Usa -337 &pagado,,,,,,,,,,,,,,
2024-05-08,-337.29,337.29,0.0,Usa -337 ,,pagado,,,,,,,,,,,,
2024-05-11,-22.99,22.99,0.0,ChatGpt -23,,,,,,,,,,,,,,
2024-05-11,-22.99,22.99,0.0,ChatGpt -23,,,,,,,,,,,,,,
2024-05-11,-22.99,22.99,0.0,ChatGpt -23,,,,,,,,,,,,,,
2024-05-13,-24.67,0.0,-24.67,,,,,,,,,,,,,,,
2024-05-14,-27.5,0.0,-27.5,Transferencia -25 #dia anterior,,,,,,,,,,,,,,
2024-05-14,-27.5,0.0,-27.5,Transferencia -25 #dia anterior,,,,,,,,,,,,,,
2024-05-27,-21.49,21.49,0.0,tablita,,,,,,,,,,,,,,
2024-05-27,-21.49,21.49,0.0,tablita,,,,,,,,,,,,,,
2024-05-27,-21.49,21.49,0.0,tablita,,,,,,,,,,,,,,
2024-05-28,-245.18,0.0,-245.18,SRI &pagado,,,,,,,,,,,,,,
2024-05-28,-245.18,0.0,-245.18,SRI ,,pagado,,,,,,,,,,,,
2024-05-28,-245.18,0.0,-245.18,SRI &pagado,,,,,,,,,,,,,,
2024-05-29,-34.88,31.65,-3.23,,,,,,,,,,,,,,,
2024-06-03,-32.83,40.63,7.8,Super y mc #El super es del 29 &pagado 27,,,,,,,,,,,,,,
2024-06-03,-32.83,40.63,7.8,Super y mc #El super es del 29 &pagado 27,,,,,,,,,,,,,,
2024-06-04,-26.57,18.42,-8.15,,,,,,,,,,,,,,,
2024-06-05,-26.32,26.32,0.0,Super y mc ,,,,,,,,,,,,,,
2024-06-05,-26.32,26.32,0.0,Super y mc ,,,,,,,,,,,,,,
2024-06-11,-32.18,35.73,3.55,Mc y ChatGpt,,,,,,,,,,,,,,
2024-06-11,-37.33,35.73,-1.6,Mc y ChatGpt,,,,,,,,,,,,,,
2024-06-11,-37.33,35.73,-1.6,Mc y ChatGpt,,,,,,,,,,,,,,
2024-06-20,-22.71,8.71,-14.0,,,,,,,,,,,,,,,
2024-06-21,-31.97,31.97,0.0,Casa res mela,,,,,,,,,,,,,,
2024-06-21,-31.97,31.97,0.0,Casa res mela,,,,,,,,,,,,,,
2024-06-21,-31.97,31.97,0.0,Casa res mela,,,,,,,,,,,,,,
2024-06-21,-31.97,31.97,0.0,Casa res mela,,,,,,,,,,,,,,
2024-06-22,-102.52,102.52,0.0,Carro ,,pagado,,,,,,,,,,,,
2024-06-22,-102.52,102.52,0.0,Carro &pagado,,,,,,,,,,,,,,
