FECHA,DESCRIPCION,MONTO,TIPO
2024-03-11 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-2.5,CUENTA
2024-03-11 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-2.0,CUENTA
2024-03-11 00:00:00,TRANSFERENCIA INTERNET,-9.0,CUENTA
2024-03-11 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-16.0,CUENTA
2024-03-12 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-3.99,CUENTA
2024-03-12 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-3.99,CUENTA
2024-03-12 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-2.25,CUENTA
2024-03-13 00:00:00,TRANSFERENCIA INTERNET,-20.0,CUENTA
2024-03-13 00:00:00,**COSTO REFERENCIA BANCARIA,-2.25,CUENTA
2024-03-14 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-4.0,CUENTA
2024-03-14 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-0.5,CUENTA
2024-03-15 00:00:00,TRANSFERENCIA INTERNET,-1.5,CUENTA
2024-03-15 00:00:00,TRANSFERENCIA INTERNET,-1.73,CUENTA
2024-03-15 00:00:00,TRANSFERENCIA INTERNET,-2.15,CUENTA
2024-03-18 00:00:00,TRANSFERENCIA INTERNET,3.0,CUENTA
2024-03-18 00:00:00,02469497-MASTERCARD -RA-54660500091,-3177.0,CUENTA
2024-03-18 00:00:00,TRANSFERENCIA INTERNET,18.0,CUENTA
2024-03-18 00:00:00,02469497-MASTERCARD -RA-22306700008,-510.98,CUENTA
2024-03-18 00:00:00,TRANSFERENCIA INTERNET,223.6,CUENTA
2024-03-18 00:00:00,02469497-MASTERCARD -RA-22306700008,-510.98,CUENTA
2024-03-19 00:00:00,TRANSFERENCIA INTERNET,-5.5,CUENTA
2024-03-21 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-3.0,CUENTA
2024-03-21 00:00:00,REV_TRANSFERENCIA INTERBANCARIA ENVIADA,3.0,CUENTA
2024-03-21 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-3.0,CUENTA
2024-03-21 00:00:00,REV_TRANSFERENCIA INTERBANCARIA ENVIADA,3.0,CUENTA
