Fecha;Saldo Actual;Liquidos;TOTAL;Resta total;Inversiones/Pagos (No ver al final);;;;Descripcion;Tarjeta;DIAS;RESTA;Madre Pago Mensual;Dias;Interpolate;Pagado Madre;Dias;Interpolate;
1/22/2025;242,89;242,89;373,2181025;0;;;;;Pagado Tar;-275;56;-5,517857143;;30;31,81818182;;58;104,0277778;130,3281025
1/24/2025;28130;233;377,216811;27897;;;;27897;Inversion;;54;-11,03571429;;28;36,36363636;;56;118,8888889;144,216811
2/21/2025;28121;224;485,4087302;27897;;;;27897;Pago Min Tar;-30;26;-165,5357143;;0;100;;28;326,9444444;261,4087302
2/21/2025;115;115;376,4087302;0;;;;;;;26;-165,5357143;;0;100;;28;326,9444444;261,4087302
2/21/2025;152;152;315,4087302;0;;;;;Pagado Madre;;26;-165,5357143;50;25;2;;28;326,9444444;163,4087302
2/24/2025;92;92;267,1468254;0;;;;;Despues Viaje;;23;-182,0892857;;21;8;;25;349,2361111;175,1468254
2/28/2025;8;8;218,797619;0;;;;;Dos semanas;;19;-204,1607143;;7;36;;21;378,9583333;210,797619
3/14/2025;40;40;283,5753968;0;;;;;Pagado;;5;-281,4107143;;4;42;;7;482,9861111;243,5753968
3/17/2025;10575;40;293,3134921;10535;;10535;;;Inversion Acabada;;2;-297,9642857;;2;46;;4;505,2777778;253,3134921
3/19/2025;11434;299;292,7489172;11135;600;10535;;;Pagado madre;-309;47;-16,78723404;100;31;3,225806452;535;58;7,310344828;-6,251082763
3/21/2025;39574;300;273,9364069;39274;600;10535;28139;;Inicio Clases;;44;-50,36170213;;28;9,677419355;;56;14,62068966;-26,06359312
3/24/2025;39507;233;133,9374482;39274;600;10535;28139;;;;37;-167,8723404;;21;32,25806452;;53;36,55172414;-99,06255177
3/31/2025;39477,65;203,65;101,5141517;39274;600;10535;28139;;Primera semana;;33;-235,0212766;;17;45,16129032;;46;87,72413793;-102,1358483
4/4/2025;39401,36;127,36;-40,46446217;39274;600;10535;28139;;Segunda semana;;26;-352,5319149;;10;67,74193548;;42;116,9655172;-167,8244622
4/11/2025;39308,41;34,41;-150,0491863;39274;600;10535;28139;;C;;21;-436,4680851;;5;83,87096774;;35;168,137931;-184,4591863
4/16/2025;39300;26;-135,4688898;39274;600;10535;28139;;Tercera Semana;;20;-453,2553191;;4;87,09677419;;30;204,6896552;-161,4688898
4/17/2025;39249;-25;-233,4042553;39274;600;10535;28139;;Pago Tarjeta Min;-30;16;-520,4042553;;0;100;-30;29;212;-208,4042553
4/21/2025;39317,89;43,89;-265,3990682;39274;600;10535;28139;;Pago Nuevo Mes Madre;;14;-553,9787234;100;29;3,448275862;;25;241,2413793;-309,2890682
4/23/2025;39302,64;28,64;-296,1545708;39274;600;10535;28139;;Cuarta Semana;;12;-587,5531915;;27;6,896551724;;23;255,862069;-324,7945708
4/25/2025;28759;20;-330,1907557;28739;600;;28139;;Devuelvo los 10 mil;;9;-637,9148936;;24;17,24137931;;21;270,4827586;-350,1907557
4/28/2025;28747;8;-360,2765957;28739;600;;28139;;Quinta semana;;6;-688,2765957;;21;27,5862069;;18;292,4137931;-368,2765957
5/1/2025;27947;-792;-429,3793103;28739;600;;28139;;Pagado tarjeta;-789;0;;;15;48,27586207;;15;314,3448276;362,6206897
5/7/2025;27914;-825;-411,6206897;28739;600;;28139;;Sexta Semana;;;;;13;55,17241379;;9;358,2068966;413,3793103
5/9/2025;901;-838;-399,6551724;1739;600;;1139;;27000;;;;;10;65,51724138;;7;372,8275862;438,3448276
5/12/2025;868;-871;-396,9310345;1739;600;;1139;;Septima Semana;;;;;6;79,31034483;;4;394,7586207;474,0689655
5/16/2025;959;-780;-256;1739;600;;1139;;Octava Semana y pago madre;;;;110;0;100;424;0;424;524
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
