Fecha;Documento;Descripción;Operación;Cuota;País;Valor;Saldo Diferido(USD)
;;SALDO ANTERIOR;;;;309,55;
21/03;;"SU PAGO ""MUCHAS GRACIAS""";;;;20;
21/03;668032;"SU PAGO ""MUCHAS GRACIAS""";;;;309,55;
;;SUBTOTAL PAGOS;;;;329,55;
;;TOTAL A FAVOR;;;;20;
6/4;;INT. FINANCIAMIENTO;N/D;;;0,88;
26/03;4282869;IVA;N/D IVA;;;0,03;
6/4;;CONT_FIN_SOLCA_C.ROT**;N/D;;;0,03;
26/03;4282869;TARIFA CONSUMO GASOLINERA;N/D T15;;;0,2;
ARCENTALES ARCINIEGA ANDRE SEB 2230-xxxx-xxxx-6211 * PRINCIPAL REEMPLAZO MASTERCARD JOVEN *;;;;;;;
24/03;4186408;FARMACIA CRUZ AZUL Q;CONSUMO;;;3,69;
7/3;3444729;MENESTRAS DEL NEGRO M0 Q;CONSUMO;;;4,98;
7/3;3444730;MENESTRAS DEL NEGRO M0 Q;CONSUMO;;;1,99;
18/03;4127819;MENESTRAS DEL NEGRO M0 Q;CONSUMO;;;5,98;
18/03;4127820;MENESTRAS DEL NEGRO M0 Q;CONSUMO;;;4,5;
12/3;3656421;COMFARPI ECUECU Q;CONSUMO;;;81,32;
7/3;3461086;KS KUSHKI SAUECU Q;CONSUMO;;;0,57;
8/3;3438358;Microsoft*StoreN m;CONSUMO;;;7,99;
8/3;3438358;RET IVA SERV DIGITAL 100%;N/D;;;1,2;
26/03;4282869;EDS MIRAVALLEECU Q;CONSUMO;;;15;
7/3;3502956;NETLIFE KSECUECU Q;CONSUMO;;;32,5;
30/03;4362093;MEDICITY LA PAMPA Q;CONSUMO;;;3,66;
10/3;3596019;UB *EATS ECUADOR 8;CONSUMO;;;9,27;
10/3;3596019;RET IVA SERV DIGITAL 10%;N/D;;;0,14;
27/03;4362092;SIME PORTALCUECU Q;CONSUMO;;;9,54;
18/03;3922769;ESTACIONAMIENTOS URBAN Q;CONSUMO;;;6;
27/03;4282868;MCDONALDS EC KSU G;CONSUMO;;;6,6;
19/03;3921225;DLC*UBER EATSECU S;CONSUMO;;;9,17;
19/03;3921225;RET IVA SERV DIGITAL 10%;N/D;;;0,14;
17/03;3818438;DLC*UBER RIDES INT P;CONSUMO;;;3,99;
17/03;3818438;RET IVA SERV DIGITAL 100%;N/D;;;0,6;
20/03;3938673;OPENAI *CHATGPT SUBSCR S;CONSUMO;;;20;
20/03;3938673;RET IVA SERV DIGITAL 100%;N/D;;;3;
15/03;3744001;GOOGLE *Google One 6;CONSUMO;;;1,99;
15/03;3744001;RET IVA SERV DIGITAL 100%;N/D;;;0,3;
28/03;4318557;UBER EATS INTECU P;CONSUMO;;;6,71;
28/03;4318557;RET IVA SERV DIGITAL 10%;N/D;;;0,1;
6/3;3436452;UBER EATS INTIRL P;CONSUMO;;;6,71;
6/3;3436452;RET IVA SERV DIGITAL 10%;N/D;;;0,1;
21/03;4127818;PUCE PTP ECUECU Q;CONSUMO;;;172,5;
14/03;3786411;OPTICA SANCHOECU Q;CONSUMO;;;45,83;
7/3;3502957;PROAUTO C.A.UECU Q;CONSUMO;;;201,16;
27/03;4202822;Spotify P354E149B5 S;CONSUMO;;;3,49;
27/03;4202822;RET IVA SERV DIGITAL 100%;N/D;;;0,52;
