Fecha;Documento;Descripción;Operación;Cuota;País;Valor;Saldo Diferido(USD)
;;SALDO ANTERIOR;;;;478,28;
20/06;731598;"SU PAGO ""MUCHAS GRACIAS""";;;;478,28;
ARCENTALES ARCINIEGA ANDRE SEB 2230-xxxx-xxxx-5647 * PRINCIPAL MASTERCARD JOVEN *;;;;;;;
22/06;464;PROAUTO C.A.;CONSUMO;;;102,52;
10/6;8209;MB-MAYFLOWER BUFFALOS;CONSUMO;;;5,99;
24/06;291;MB-MAYFLOWER BUFFALOS;CONSUMO;;;5,99;
5/6;3305514;McDONALD S 6 Dic Quito Q;CONSUMO;;;7,9;
11/6;3537438;McDONALD S 6 Dic Quito Q;CONSUMO;;;2,99;
4/6;3305513;MEGAMAXI EL CONDADO LC Q;CONSUMO;;;18,42;
10/6;3506567;DIFARE S AECUECU G;CONSUMO;;;12,72;
20/06;3882614;SUPERMAXI POMASQUI 122 Q;CONSUMO;;;8,71;
30/06;4092280;UBER *TRIP H;CONSUMO;;;8,05;
30/06;4092280;RET IVA SERV DIGITAL 100%;N/D;;;1,21;
21/06;3882615;CASA RES R002 QUICENTR Q;CONSUMO;;;31,97;
28/06;4072811;UB *EATS ECUADOR 8;CONSUMO;;;8,94;
28/06;4072811;RET IVA SERV DIGITAL 10%;N/D;;;0,13;
7/6;3407777;ROCK YOUR DOGS E;CONSUMO;;;10;
8/6;3362987;GOOGLE *Google Storage 6;CONSUMO;;;1,99;
8/6;3362987;RET IVA SERV DIGITAL 100%;N/D;;;0,3;
11/6;3506566;MCDONALDS EC KSU G;CONSUMO;;;9,75;
13/06;3580386;MCDONALDS EC KSD G;CONSUMO;;;10,6;
19/06;3790910;UBER *ONE H;CONSUMO;;;3,99;
11/6;3491680;GOOGLE *ChatGPTB 6;CONSUMO;;;19,99;
11/6;3491680;RET IVA SERV DIGITAL 100%;N/D;;;3;
