source_id,source_type,nombre_limpio,categoria,tags,prioridad,es_fijo,pertenece_a,es_reembolsable,deudor,felicidad,revisado,nota,split_group_id,group_id,monto_asignado
4bd9ed8d4d9641f9bd0ccd6936b9f0d5,BANCA,TRANSFERENCIA ENVIADA ARRIENDO,Vivienda,"Arriendo,alto_valor",Necesidad,True,,False,,4,True,,,,
f7b6e4803ab444aba797f633f3b4191a,BANCA,TRANSFERENCIA ENVIADA ARRIENDO,Vivienda,"Arriendo,alto_valor",Necesidad,True,,False,,4,True,,,,
ff3647ef63fa4ae6b0a9255881722064,BANCA,PAGO SERVICIOS AGUA LUZ,Servicios Basicos,Recibos_Luz_Agua,Necesidad,True,,False,,4,True,,,,
b2f61d6885c846349b6a6631e732e77c,BANCA,CANCELACION PLAZO FIJO MOCK,Inversiones,Inversion_Liquida,Financiero,True,,False,,8,True,,,,
a1e8531467b34a01a39d99f154246f0f,BANCA,TRANSFERENCIA INTERIOR (INTERESES),Inversiones,Rendimientos,Ingreso Extra,False,,False,,9,True,,,,
tx_d1_1,BANCA,TRANSFERENCIA ENVIADA PAGO PRESTAMO ANA,Deudas,Prestamo,Financiero,False,,False,,3,True,,,,
tx_d2_1,BANCA,PAGO GASTO COMPARTIDO CENA,Deudas,Gasto_Compartido,Deseo,False,,False,,5,True,,,,
18ec457299784611ac068ffbdc7bc080,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,8,True,,,,
b75f9c2dde6343759302481478311695,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,7,True,,,,
25c93add237a40ea931b91cd7f8b8f13,BANCA,TRANSFERENCIA RECIBIDA PAGO CARLOS,Deudas,Cobro,Deuda,False,,False,,8,True,,,,
fba215a19a4f42999563e24974e54748,BANCA,PAGO TARJETA DE CREDITO MASTERCARD BANCO PICHINCHA  223067XXXX-MOCK-2024-01,Tarjetas,"Pago_Tarjeta,alto_valor",Pago Financiero,True,,False,,4,True,,,,
tx_d3_1,BANCA,TRANSFERENCIA ENVIADA PAGO PRESTAMO MIGUEL,Deudas,Prestamo,Financiero,False,,False,,3,True,,,,
72b4bccd8fc74047bceb61c64a151343,BANCA,CERTIFICADO DE DEPOSITO MOCK,Inversiones,"Inversion_LargoPlazo,alto_valor",Financiero,True,,False,,9,True,,,,
24d71da7d30d479fb53c37d832d3dd5e,BANCA,TRANSFERENCIA RECIBIDA PAGO ANA,Deudas,Cobro,Deuda,False,,False,,6,True,,,,
db47c25d76084edc9d3ce6ba2a808a6c,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
93810f0d9c3748a6b4d5b51de3cf62e2,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
34128ddfa1df4ae897ba6e81d2a07186,BANCA,TRANSFERENCIA ENVIADA ARRIENDO,Vivienda,"Arriendo,alto_valor",Necesidad,True,,False,,4,True,,,,
e5ac1fd2ad874481849758fdbc223e4c,BANCA,TRANSFERENCIA ENVIADA ARRIENDO,Vivienda,"Arriendo,alto_valor",Necesidad,True,,False,,4,True,,,,
ee79de98345e47db9a51e3ac3e05cdd2,BANCA,PAGO SERVICIOS AGUA LUZ,Servicios Basicos,Recibos_Luz_Agua,Necesidad,True,,False,,3,True,,,,
tx_d1_2,BANCA,TRANSFERENCIA ENVIADA PAGO PRESTAMO ANA,Deudas,Prestamo,Financiero,False,,False,,3,True,,,,
b76fe64902ca4bbb8254ae7a94d089ef,BANCA,TRANSFERENCIA RECIBIDA PAGO MIGUEL,Deudas,Cobro,Deuda,False,,False,,6,True,,,,
tx_d2_2,BANCA,PAGO GASTO COMPARTIDO CENA,Deudas,Gasto_Compartido,Deseo,False,,False,,7,True,,,,
bf3a5742c2ba4a5f974ca3e32b6d0bdc,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
3d75f3fc9f594eb6bd8fc3d9e7ac5558,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
53654245b4854fa188dae7343063b532,BANCA,TRANSFERENCIA RECIBIDA PAGO CARLOS,Deudas,Cobro,Deuda,False,,False,,6,True,,,,
a5a0576a8eee4bddabc677450cf4e281,BANCA,PAGO TARJETA DE CREDITO MASTERCARD BANCO PICHINCHA  223067XXXX-MOCK-2024-02,Tarjetas,"Pago_Tarjeta,alto_valor",Pago Financiero,True,,False,,4,True,,,,
tx_d3_2,BANCA,TRANSFERENCIA ENVIADA PAGO PRESTAMO MIGUEL,Deudas,Prestamo,Financiero,False,,False,,3,True,,,,
5624bd4a965640db828f1e23e2453149,BANCA,TRANSFERENCIA RECIBIDA PAGO ANA,Deudas,Cobro,Deuda,False,,False,,6,True,,,,
39434babb8da4460966cd84d8d82147a,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
b0639dcd2f28419ba3c3ee9cb2636f81,BANCA,TRANSFERENCIA ENVIADA ARRIENDO,Vivienda,"Arriendo,alto_valor",Necesidad,True,,False,,3,True,,,,
d3923bfb794c48fdb24ae2ddcbce7f09,BANCA,TRANSFERENCIA ENVIADA ARRIENDO,Vivienda,"Arriendo,alto_valor",Deseo,True,,False,,4,True,,,,
9723b32e26ff4d9a950c59c1f38bfe22,BANCA,PAGO SERVICIOS AGUA LUZ,Servicios Basicos,Recibos_Luz_Agua,Necesidad,True,,False,,3,True,,,,
tx_d1_3,BANCA,TRANSFERENCIA ENVIADA PAGO PRESTAMO ANA,Deudas,Prestamo,Financiero,False,,False,,3,True,,,,
2bddb488273c479a985a8dfab6aba2f9,BANCA,TRANSFERENCIA RECIBIDA PAGO MIGUEL,Deudas,Cobro,Deuda,False,,False,,6,True,,,,
tx_d2_3,BANCA,PAGO GASTO COMPARTIDO CENA,Deudas,Gasto_Compartido,Deseo,False,,False,,8,True,,,,
514787100a484663a092a10364df742c,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,8,True,,,,
36d47ac941bb420c85dfee77f0d24d37,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
72476d13f7f943e4b0b5c13e3b09cc71,BANCA,TRANSFERENCIA RECIBIDA PAGO CARLOS,Deudas,Cobro,Deuda,False,,False,,6,True,,,,
dd40648426374fb385178d646bfe0f7d,BANCA,PAGO TARJETA DE CREDITO MASTERCARD BANCO PICHINCHA  223067XXXX-MOCK-2024-03,Tarjetas,"Pago_Tarjeta,alto_valor",Pago Financiero,True,,False,,3,True,,,,
tx_d3_3,BANCA,TRANSFERENCIA ENVIADA PAGO PRESTAMO MIGUEL,Deudas,Prestamo,Financiero,False,,False,,3,True,,,,
de9660b883b5496089e97d63f5734462,BANCA,TRANSFERENCIA RECIBIDA PAGO ANA,Deudas,Cobro,Deuda,False,,False,,6,True,,,,
1f99b3f9b620494bb204d60a859723ab,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
2b1ebb9b60104adf8354b80f33023c9c,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
53644d2227ff4a3daadcb002ec3c38e6,BANCA,TRANSFERENCIA ENVIADA ARRIENDO,Vivienda,"Arriendo,alto_valor",Necesidad,True,,False,,4,True,,,,
5f50e222f4d143b1b023b7c270b7f0d7,BANCA,TRANSFERENCIA ENVIADA ARRIENDO,Vivienda,"Arriendo,alto_valor",Deseo,True,,False,,4,True,,,,
c04b1feb72f342c597be5e058d29f1ac,BANCA,PAGO SERVICIOS AGUA LUZ,Servicios Basicos,Recibos_Luz_Agua,Necesidad,True,,False,,3,True,,,,
2d96063ae71c43a09629c63bd435e702,BANCA,CANCELACION PLAZO FIJO MOCK,Inversiones,Inversion_Liquida,Financiero,True,,False,,8,True,,,,
70a04c7d60764390aa791cd0561e154f,BANCA,TRANSFERENCIA INTERIOR (INTERESES),Inversiones,Rendimientos,Ingreso Extra,False,,False,,9,True,,,,
tx_d1_4,BANCA,TRANSFERENCIA ENVIADA PAGO PRESTAMO ANA,Deudas,Prestamo,Financiero,False,,False,,3,True,,,,
cf4084e7ebb54a73b6c5a51fca5e40d0,BANCA,TRANSFERENCIA RECIBIDA PAGO MIGUEL,Deudas,Cobro,Deuda,False,,False,,6,True,,,,
tx_d2_4,BANCA,PAGO GASTO COMPARTIDO CENA,Deudas,Gasto_Compartido,Deseo,False,,False,,7,True,,,,
930187a139534db08657fdc1313b38c0,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
4a1e60a647274ec3b153e725a38a93d6,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
1b8bb550dbd748199197670ee51b75c7,BANCA,TRANSFERENCIA RECIBIDA PAGO CARLOS,Deudas,Cobro,Deuda,False,,False,,6,True,,,,
9b94e0f1370a44c88c7196549bf5e588,BANCA,PAGO TARJETA DE CREDITO MASTERCARD BANCO PICHINCHA  223067XXXX-MOCK-2024-04,Tarjetas,"Pago_Tarjeta,alto_valor",Pago Financiero,True,,False,,2,True,,,,
tx_d3_4,BANCA,TRANSFERENCIA ENVIADA PAGO PRESTAMO MIGUEL,Deudas,Prestamo,Financiero,False,,False,,3,True,,,,
2398688297a9437889d9cd8808e4f7e4,BANCA,CERTIFICADO DE DEPOSITO MOCK,Inversiones,"Inversion_LargoPlazo,alto_valor",Financiero,True,,False,,9,True,,,,
0f30524ab8104a45905a95dbd35ff29d,BANCA,TRANSFERENCIA RECIBIDA PAGO ANA,Deudas,Cobro,Deuda,False,,False,,4,True,,,,
f8e9a1007e33453eb9e6a999c52ab645,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,8,True,,,,
90438daccc93475e88a3f0a4d4e8d1ea,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
7312b73ddbf34b778d8b173ee0f8c8c8,BANCA,TRANSFERENCIA ENVIADA ARRIENDO,Vivienda,"Arriendo,alto_valor",Necesidad,True,,False,,4,True,,,,
fce3428fd5af40ea97f2c67a606fcbf5,BANCA,TRANSFERENCIA ENVIADA ARRIENDO,Vivienda,"Arriendo,alto_valor",Necesidad,True,,False,,4,True,,,,
3a9a88d5e29c43b0bc6c4fae3732b231,BANCA,PAGO SERVICIOS AGUA LUZ,Servicios Basicos,Recibos_Luz_Agua,Necesidad,True,,False,,3,True,,,,
tx_d1_5,BANCA,TRANSFERENCIA ENVIADA PAGO PRESTAMO ANA,Deudas,Prestamo,Financiero,False,,False,,3,True,,,,
7fa7ecd9b72a46978806873a2139161a,BANCA,TRANSFERENCIA RECIBIDA PAGO MIGUEL,Deudas,Cobro,Deuda,False,,False,,7,True,,,,
tx_d2_5,BANCA,PAGO GASTO COMPARTIDO CENA,Deudas,Gasto_Compartido,Deseo,False,,False,,5,True,,,,
bf22ac8e9ec545a680472aed411cae8d,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
697d2c28921943be9b177e650c5a5ebd,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,7,True,,,,
f7e172d2df284f9eba621b425e3936bc,BANCA,TRANSFERENCIA RECIBIDA PAGO CARLOS,Deudas,Cobro,Deuda,False,,False,,7,True,,,,
bb40149db40e4271ad8d73f4e9529f0a,BANCA,PAGO TARJETA DE CREDITO MASTERCARD BANCO PICHINCHA  223067XXXX-MOCK-2024-05,Tarjetas,"Pago_Tarjeta,alto_valor",Pago Financiero,True,,False,,4,True,,,,
tx_d3_5,BANCA,TRANSFERENCIA ENVIADA PAGO PRESTAMO MIGUEL,Deudas,Prestamo,Financiero,False,,False,,3,True,,,,
882e5fd59a0a426f845a4c08bd0a93f9,BANCA,TRANSFERENCIA RECIBIDA PAGO ANA,Deudas,Cobro,Deuda,False,,False,,6,True,,,,
30d4a6515297498bbd4c559c06a8206b,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
e379e459d17a46098590d844a304f663,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
0fb223a614904cd0a4870a06a08c89ee,BANCA,TRANSFERENCIA ENVIADA ARRIENDO,Vivienda,"Arriendo,alto_valor",Necesidad,True,,False,,5,True,,,,
9b164c527a564ba7bc604993af697c6f,BANCA,TRANSFERENCIA ENVIADA ARRIENDO,Vivienda,"Arriendo,alto_valor",Necesidad,True,,False,,5,True,,,,
b82f0a01234748aca65da84eb3a4f941,BANCA,PAGO SERVICIOS AGUA LUZ,Servicios Basicos,Recibos_Luz_Agua,Deseo,True,,False,,3,True,,,,
tx_d1_6,BANCA,TRANSFERENCIA ENVIADA PAGO PRESTAMO ANA,Deudas,Prestamo,Financiero,False,,False,,3,True,,,,
476c40bf70224b2288808b4df762a11d,BANCA,TRANSFERENCIA RECIBIDA PAGO MIGUEL,Deudas,Cobro,Deuda,False,,False,,6,True,,,,
tx_d2_6,BANCA,PAGO GASTO COMPARTIDO CENA,Deudas,Gasto_Compartido,Deseo,False,,False,,8,True,,,,
732d43454adf4220aa0d8d18829b1a4e,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
7a559c36c125435aa8a85bf5018350bf,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
2ccddabd5fa945719041ed4883ab956e,BANCA,TRANSFERENCIA RECIBIDA PAGO CARLOS,Deudas,Cobro,Deuda,False,,False,,6,True,,,,
7f2dc7eb1d7948bd9ce12c6dd0f7b009,BANCA,PAGO TARJETA DE CREDITO MASTERCARD BANCO PICHINCHA  223067XXXX-MOCK-2024-06,Tarjetas,"Pago_Tarjeta,alto_valor",Pago Financiero,True,,False,,4,True,,,,
tx_d3_6,BANCA,TRANSFERENCIA ENVIADA PAGO PRESTAMO MIGUEL,Deudas,Prestamo,Financiero,False,,False,,3,True,,,,
a2c02d8604094e2f9c9c1c742333c14c,BANCA,TRANSFERENCIA RECIBIDA PAGO ANA,Deudas,Cobro,Deuda,False,,False,,6,True,,,,
75c8ac750eb049e8a4fe93b2e9a0579f,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
677be1ec041f4f6c861ef9f47a3f8f2c,BANCA,TRANSFERENCIA RECIBIDA NOMINA MOCK,Ingresos Principales,Nomina,Ingreso,True,,False,,9,True,,,,
9044f6bc32db4aca86c552d6e49a7116,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,8,True,,,,
fb0f7ce19e6145e0aa765fb357b96847,TARJETA,AMAZON MOCK,Compras Personales,Gadget_Tech,Deseo,False,,False,,9,True,,,,
e3d1695f22c447e99719ff4f1cd00f99,TARJETA,PAGO GASOLINERA,Transporte,Gasolina,Necesidad,True,,False,,4,True,,,,
84649eefb428448f81361febf4dd8ed1,TARJETA,AGENCIA DE VIAJES RESERVA,Viajes,Viaje_Relax,Deseo,False,,False,,9,True,,,,
b04b456858ed404fa8ffd3ca62db008a,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,8,True,,,,
bd4d18cbfd6b477aa2e45212812109ca,TARJETA,UBER EATS MOCK,Alimentacion,Comida_Rapida,Deseo,False,,False,,6,True,,,,
dc96dbb8c2294457a911ad727ee97e19,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,8,True,,,,
ac09dd28738b4c3c88c1e2ed7b4c7c81,TARJETA,RESTAURANTE LOCAL,Alimentacion,Salida_FinSemana,Deseo,False,,False,,8,True,,,,
767a84fe8d1647dca367ebdce2876068,TARJETA,SUPERMERCADO CASH,Alimentacion,Groceries_Mensual,Necesidad,True,,False,,6,True,,,,
fc70449b7c584e4182e0cced9ef6fc33,TARJETA,CINE MOCK,Entretenimiento,Peliculas_Teatro,Deseo,False,,False,,8,True,,,,
937ecb42cc36441c86b55cf1d30ddc5d,TARJETA,GAME STORE,Entretenimiento,Juegos_Video,Deseo,False,,False,,6,True,,,,
a5f0a8d44ba04be4bb56a52eb92e58eb,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,8,True,,,,
b98784cc79194e1bb53dcbf1be5e60ed,TARJETA,PAGO INTERNET,Servicios Basicos,Internet_Telefono,Necesidad,True,,False,,5,True,,,,
05e7e1c917ca4ec4b55b2b2baac98b2c,TARJETA,UBER EATS MOCK,Alimentacion,Comida_Rapida,Deseo,False,,False,,7,True,,,,
5b3384067b324c11b85cd082dc5b45e7,TARJETA,NETFLIX,Entretenimiento,Streaming_Mensual,Deseo,True,,False,,4,True,,,,
085cdac04df94aae9d5cb0d3ca50c0f2,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,8,True,,,,
16e402e928ed4b9893f0bca141a1014e,TARJETA,RESTAURANTE LOCAL,Alimentacion,Salida_FinSemana,Deseo,False,,False,,9,True,,,,
23ef15253de24eb8a81a06867a5d7483,TARJETA,SPOTIFY,Entretenimiento,Streaming_Mensual,Deseo,True,,False,,7,True,,,,
6f7d50ab814d4c90adad4374af18d658,TARJETA,SUPERMERCADO CASH,Alimentacion,Groceries_Mensual,Necesidad,True,,False,,4,True,,,,
8ae5db7804f747789e4dcafa73a4d42c,TARJETA,FERRETERIA LOCAL,Vivienda,Mantenimiento_Casa,Necesidad,False,,False,,3,True,,,,
6af0bb2a9fa340ab95f5c1e76675c162,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,6,True,,,,
f721ca7d5eed4f2d9437426a48c9200e,TARJETA,SEGURO MEDICO,Salud,Seguro_Medico,Necesidad,True,,False,,3,True,,,,
c6887e10bef2444eaeeb7f2bb41db50f,TARJETA,PAGO GASOLINERA,Transporte,Gasolina,Necesidad,True,,False,,4,True,,,,
b21c980e2cf1464caf681b140152cab0,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,8,True,,,,
a1c7e5de31624707b8a3f9a9f662cefa,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,8,True,,,,
ef530ec5559149e5a1e8b8239109e0fd,TARJETA,UBER EATS MOCK,Alimentacion,Comida_Rapida,Deseo,False,,False,,7,True,,,,
4bcee15d10a2496890e8b074af80c5f2,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,8,True,,,,
a6198d1b00374bfebd68e6febc8b4120,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,8,True,,,,
f966cfe2faae4438a91bed6247b4407a,TARJETA,AMAZON MOCK,Compras Personales,Gadget_Tech,Deseo,False,,False,,7,True,,,,
644fccfe01384decb673433a765bf927,TARJETA,COMIDA PARA MASCOTA,Mascotas,Mascotas_Comida,Necesidad,True,,False,,6,True,,,,
54e131f5d3b044da8706118de4d2a983,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,8,True,,,,
dc9c3b6a932143539a0d98f0743fdaa9,TARJETA,RESTAURANTE LOCAL,Alimentacion,Salida_FinSemana,Deseo,False,,False,,9,True,,,,
2357115123134d54b9f39e0eb6df13da,TARJETA,AMAZON MOCK,Compras Personales,Gadget_Tech,Deseo,False,,False,,9,True,,,,
57d28697b269493f8c3a91de0cf3ecc7,TARJETA,SUPERMERCADO CASH,Alimentacion,Groceries_Mensual,Necesidad,True,,False,,6,True,,,,
ff04380bf3e64e678144218aa29e7c18,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,8,True,,,,
060289fac9e2475e9a93bd30a31872da,TARJETA,CINE MOCK,Entretenimiento,Peliculas_Teatro,Deseo,False,,False,,9,True,,,,
08701cc2ad38405a916e47864594c6c0,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,8,True,,,,
b7dcaf6f58b04311b918998bf5ca6680,TARJETA,UBER EATS MOCK,Alimentacion,Comida_Rapida,Deseo,False,,False,,7,True,,,,
49f6f35369f74e0887f52f8a109cb820,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,8,True,,,,
6be08f40f7704db2b70ad5ada67946c1,TARJETA,RESTAURANTE LOCAL,Alimentacion,Salida_FinSemana,Deseo,False,,False,,9,True,,,,
e8fefbfb68274461a9ae5d3f772df555,TARJETA,SUPERMERCADO CASH,Alimentacion,Groceries_Mensual,Necesidad,True,,False,,5,True,,,,
b41d025970cc40babbf0f9b845335087,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,8,True,,,,
97e9f48e7a2c44f8814dc641cb2cf8b2,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,8,True,,,,
a7e551aaee694b229a85aa8844067930,TARJETA,UBER EATS MOCK,Alimentacion,Comida_Rapida,Deseo,False,,False,,7,True,,,,
4618b5e575f84be1af8e062e0f206a82,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,8,True,,,,
7e03852252ce4a0c9c96b015fdb03681,TARJETA,PAGO GASOLINERA,Transporte,Gasolina,Necesidad,True,,False,,4,True,,,,
b5e43412a2704b33bd18743567d80fea,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,8,True,,,,
53a9f600a9b94a82885f175a60aaf939,TARJETA,CAFETERIA,Alimentacion,Cafe_Diario,Deseo,False,,False,,6,True,,,,
b22c4c4b883e407cb13adb96bfaad551,TARJETA,RESTAURANTE LOCAL,Alimentacion,Salida_FinSemana,Deseo,False,,False,,9,True,,,,
915b84d12e024ac386d8fa491f196165,TARJETA,SUPERMERCADO CASH,Alimentacion,Groceries_Mensual,Necesidad,True,,False,,8,True,,,,
7dd93b05aa8141cdbf42536842ed6aa0,TARJETA,FERRETERIA LOCAL,Vivienda,Mantenimiento_Casa,Necesidad,False,,False,,3,True,,,,
